Flight Information:
Launch Date:            	     	                        	Wednesday, 24 June 2020	        	                   	           	Launch Time: 	       	             	17:32:36  	       	     	End of Ascent:	     	         	01:30:30
Station name:           	     	                        	                       	        	                   	           	Serialnumber:	       	             	20026284
Ground values:
Pressure:               	     	                        	902.2 hPa              	        	                   	           	Temperature: 	       	             	22.4 °C   	       	     	Humidity:     	     	         	55 %
Wind Direction:         	     	                        	131 °                  	        	                   	           	Wind Speed:  	       	             	1 m/s     	       	     	Cloud group:  	     	         	9////
Position:
Longitude:              	     	                        	-113.985 °             	        	                   	           	Latitude:    	       	             	46.860 °  	       	     	Altitude:     	     	         	1283 m
Staff:
Company:                	     	                        	
Operator:               	     	                        	                       	        	                   	           	
Events:
Highest Point:          	     	                        	15.5 hPa               	        	                   	           	28838 m
Tropopauses:            	     	                        	1.: 194.5 hPa          	        	                   	           	             	       	             	
Max Winds:              	     	                        	1.: 183.9 hPa          	        	                   	           	             	       	             	
Remarks:

Profile Data:
Time                    	P    	T                       	Hu                     	Ws      	Wd                 	Long.      	Lat.         	Alt    	Geopot       	MRI       	RI     	Dewp.	Virt. Temp    	Rs   	Elevation	Azimuth 	Range  	D
[sec]                   	[hPa]	[°C]                    	[%]                    	[m/s]   	[°]                	[°]        	[°]          	[m]    	[m]          	          	       	[°C] 	[°C]          	[m/s]	[°]      	[°]     	[m]    	[kg/m3]
0                       	902.2	22.4                    	55                     	0.7     	131                	-113.985020	46.859690    	1283   	1283         	440.662   	239.231	12.9 	24.2          	0.0  	46.9     	360     	1      	1.063628
1                       	902.1	22.5                    	54                     	0.7     	131                	-113.985012	46.859698    	1284   	1284         	440.650   	239.046	12.7 	24.3          	1.1  	47.9     	025     	2      	1.063036
2                       	902.0	22.7                    	53                     	0.7     	132                	-113.985005	46.859705    	1285   	1285         	440.653   	238.861	12.5 	24.4          	1.1  	48.6     	029     	4      	1.062444
3                       	901.8	22.8                    	51                     	0.7     	132                	-113.984997	46.859713    	1286   	1286         	440.641   	238.676	12.2 	24.5          	1.1  	48.1     	030     	5      	1.061853
4                       	901.7	22.9                    	50                     	0.7     	133                	-113.984990	46.859721    	1288   	1288         	440.645   	238.491	12.0 	24.6          	1.1  	48.4     	031     	7      	1.061262
5                       	901.6	23.0                    	49                     	0.7     	134                	-113.984982	46.859728    	1289   	1289         	440.633   	238.307	11.7 	24.7          	1.1  	48.2     	032     	8      	1.060671
6                       	901.5	23.2                    	48                     	0.6     	134                	-113.984975	46.859736    	1290   	1290         	440.621   	238.123	11.5 	24.8          	1.1  	48.0     	032     	10     	1.060082
7                       	901.4	23.2                    	47                     	0.6     	135                	-113.984967	46.859744    	1291   	1291         	440.707   	238.020	11.1 	24.8          	1.1  	48.2     	032     	11     	1.059851
8                       	901.3	23.1                    	46                     	0.6     	135                	-113.984960	46.859752    	1292   	1292         	440.881   	238.021	10.8 	24.7          	1.1  	48.0     	032     	13     	1.059982
9                       	901.1	23.0                    	46                     	0.6     	136                	-113.984952	46.859759    	1293   	1293         	441.085   	238.053	10.8 	24.6          	1.1  	47.9     	033     	14     	1.060114
10                      	901.0	23.0                    	46                     	0.6     	137                	-113.984945	46.859767    	1294   	1294         	441.305   	238.084	10.7 	24.6          	1.1  	48.1     	033     	16     	1.060245
11                      	900.9	22.9                    	46                     	0.6     	137                	-113.984937	46.859775    	1296   	1296         	441.510   	238.116	10.7 	24.5          	1.1  	48.0     	033     	17     	1.060377
12                      	900.8	22.8                    	46                     	0.6     	138                	-113.984930	46.859782    	1297   	1297         	441.730   	238.148	10.6 	24.4          	1.1  	48.1     	033     	19     	1.060508
13                      	900.7	22.7                    	46                     	0.6     	139                	-113.984922	46.859790    	1298   	1298         	441.934   	238.180	10.5 	24.3          	1.1  	48.0     	033     	20     	1.060640
14                      	900.6	22.7                    	46                     	0.6     	139                	-113.984915	46.859798    	1299   	1299         	442.139   	238.212	10.5 	24.2          	1.1  	47.9     	033     	22     	1.060772
15                      	900.4	22.6                    	46                     	0.6     	140                	-113.984907	46.859805    	1300   	1300         	442.359   	238.243	10.4 	24.2          	1.1  	48.0     	033     	24     	1.060903
16                      	900.3	22.5                    	46                     	0.6     	141                	-113.984900	46.859813    	1301   	1301         	442.564   	238.275	10.4 	24.1          	1.1  	48.0     	033     	25     	1.061035
17                      	900.2	22.4                    	46                     	0.6     	142                	-113.984899	46.859813    	1302   	1302         	442.784   	238.307	10.3 	24.0          	1.1  	49.6     	033     	26     	1.061167
18                      	900.1	22.4                    	46                     	0.5     	142                	-113.984903	46.859807    	1304   	1304         	442.989   	238.339	10.3 	23.9          	1.1  	52.3     	034     	26     	1.061299
19                      	900.0	22.3                    	46                     	0.5     	143                	-113.984907	46.859801    	1305   	1305         	443.193   	238.371	10.2 	23.8          	1.1  	55.0     	034     	27     	1.061431
20                      	899.8	22.2                    	46                     	0.5     	144                	-113.984911	46.859795    	1306   	1306         	443.416   	238.405	10.2 	23.7          	1.1  	57.7     	035     	27     	1.061570
21                      	899.7	22.1                    	46                     	0.5     	145                	-113.984915	46.859789    	1307   	1307         	443.627   	238.444	10.1 	23.7          	1.1  	60.1     	035     	28     	1.061718
22                      	899.6	22.0                    	47                     	0.5     	146                	-113.984919	46.859783    	1308   	1308         	443.838   	238.482	10.1 	23.6          	1.1  	62.5     	036     	29     	1.061865
23                      	899.5	22.0                    	47                     	0.5     	147                	-113.984923	46.859777    	1309   	1309         	444.065   	238.521	10.0 	23.5          	1.1  	64.8     	036     	29     	1.062012
24                      	899.4	21.9                    	47                     	0.5     	148                	-113.984926	46.859771    	1310   	1310         	444.277   	238.560	10.0 	23.4          	1.1  	66.9     	037     	30     	1.062160
25                      	899.3	21.8                    	47                     	0.5     	149                	-113.984930	46.859765    	1312   	1311         	444.504   	238.598	10.0 	23.3          	1.1  	69.0     	038     	31     	1.062307
26                      	899.1	21.7                    	47                     	0.5     	150                	-113.984934	46.859759    	1313   	1313         	444.715   	238.637	9.9  	23.2          	1.1  	70.9     	039     	32     	1.062454
27                      	899.0	21.6                    	47                     	0.5     	151                	-113.984938	46.859753    	1314   	1314         	444.926   	238.675	9.9  	23.2          	1.1  	72.7     	040     	33     	1.062602
28                      	898.9	21.6                    	47                     	0.4     	152                	-113.984942	46.859747    	1315   	1315         	445.153   	238.714	9.8  	23.1          	1.1  	74.5     	041     	34     	1.062750
29                      	898.8	21.5                    	47                     	0.4     	153                	-113.984946	46.859741    	1316   	1316         	445.365   	238.753	9.8  	23.0          	1.1  	76.1     	043     	34     	1.062897
30                      	898.7	21.4                    	47                     	0.4     	155                	-113.984950	46.859735    	1317   	1317         	445.592   	238.791	9.8  	22.9          	1.1  	77.6     	044     	35     	1.063045
31                      	898.6	21.3                    	48                     	0.4     	151                	-113.984954	46.859729    	1318   	1318         	445.803   	238.830	9.7  	22.8          	1.1  	79.1     	047     	36     	1.063193
32                      	898.4	21.2                    	48                     	0.5     	148                	-113.984958	46.859723    	1319   	1319         	446.014   	238.869	9.7  	22.7          	1.1  	80.4     	049     	37     	1.063341
33                      	898.3	21.2                    	48                     	0.5     	144                	-113.984962	46.859717    	1321   	1321         	446.238   	238.904	9.7  	22.7          	1.1  	81.7     	052     	38     	1.063473
34                      	898.2	21.1                    	48                     	0.5     	139                	-113.984966	46.859711    	1322   	1322         	446.439   	238.932	9.7  	22.6          	1.1  	82.8     	056     	39     	1.063565
35                      	898.1	21.0                    	48                     	0.5     	134                	-113.984970	46.859705    	1323   	1323         	446.640   	238.960	9.6  	22.5          	1.1  	83.9     	061     	40     	1.063657
36                      	898.0	21.0                    	48                     	0.5     	129                	-113.984974	46.859699    	1324   	1324         	446.856   	238.988	9.6  	22.5          	1.1  	84.8     	068     	42     	1.063749
37                      	897.8	20.9                    	48                     	0.5     	123                	-113.984978	46.859693    	1325   	1325         	447.057   	239.016	9.6  	22.4          	1.1  	85.6     	077     	43     	1.063840
38                      	897.7	20.9                    	49                     	0.5     	117                	-113.984982	46.859687    	1326   	1326         	447.274   	239.044	9.6  	22.3          	1.1  	86.2     	089     	44     	1.063932
39                      	897.6	20.8                    	49                     	0.5     	111                	-113.984986	46.859681    	1327   	1327         	447.474   	239.073	9.6  	22.3          	1.1  	86.6     	103     	45     	1.064024
40                      	897.5	20.7                    	49                     	0.5     	104                	-113.984990	46.859675    	1329   	1329         	447.675   	239.101	9.6  	22.2          	1.1  	86.7     	119     	46     	1.064116
41                      	897.4	20.7                    	49                     	0.6     	098                	-113.984994	46.859669    	1330   	1330         	447.892   	239.129	9.6  	22.1          	1.1  	86.6     	135     	47     	1.064208
42                      	897.3	20.6                    	49                     	0.6     	092                	-113.984998	46.859663    	1331   	1331         	448.093   	239.157	9.6  	22.1          	1.1  	86.3     	147     	48     	1.064300
43                      	897.1	20.5                    	49                     	0.6     	087                	-113.985002	46.859657    	1332   	1332         	448.309   	239.185	9.6  	22.0          	1.1  	85.9     	157     	50     	1.064391
44                      	897.0	20.5                    	49                     	0.6     	082                	-113.985006	46.859651    	1333   	1333         	448.510   	239.214	9.5  	21.9          	1.1  	85.4     	165     	51     	1.064483
45                      	896.9	20.4                    	50                     	0.6     	077                	-113.985010	46.859645    	1334   	1334         	448.711   	239.242	9.5  	21.9          	1.1  	84.8     	171     	52     	1.064575
46                      	896.8	20.4                    	50                     	0.6     	073                	-113.985020	46.859639    	1335   	1335         	448.915   	239.257	9.5  	21.8          	1.1  	84.2     	180     	53     	1.064610
47                      	896.7	20.4                    	50                     	0.6     	069                	-113.985034	46.859632    	1337   	1336         	449.014   	239.183	9.6  	21.9          	1.1  	83.5     	190     	54     	1.064270
48                      	896.5	20.5                    	50                     	0.6     	065                	-113.985049	46.859626    	1338   	1338         	449.112   	239.109	9.7  	22.0          	1.1  	82.6     	198     	55     	1.063930
49                      	896.4	20.5                    	50                     	0.6     	062                	-113.985063	46.859619    	1339   	1339         	449.227   	239.035	9.7  	22.0          	1.1  	81.7     	204     	57     	1.063590
50                      	896.3	20.6                    	50                     	0.7     	060                	-113.985078	46.859612    	1340   	1340         	449.325   	238.961	9.8  	22.1          	1.1  	80.7     	208     	58     	1.063250
51                      	896.2	20.6                    	50                     	0.7     	057                	-113.985093	46.859606    	1341   	1341         	449.440   	238.887	9.9  	22.1          	1.1  	79.8     	212     	59     	1.062910
52                      	896.1	20.7                    	50                     	0.7     	055                	-113.985107	46.859599    	1342   	1342         	449.538   	238.813	9.9  	22.2          	1.1  	78.8     	214     	61     	1.062571
53                      	896.0	20.7                    	50                     	0.7     	053                	-113.985122	46.859593    	1343   	1343         	449.637   	238.739	10.0 	22.3          	1.1  	77.9     	217     	62     	1.062232
54                      	895.8	20.8                    	50                     	0.7     	051                	-113.985136	46.859586    	1345   	1344         	449.751   	238.665	10.1 	22.3          	1.1  	77.0     	218     	64     	1.061893
55                      	895.7	20.9                    	50                     	0.7     	049                	-113.985151	46.859579    	1346   	1346         	449.850   	238.591	10.1 	22.4          	1.1  	76.1     	220     	65     	1.061554
56                      	895.6	20.9                    	50                     	0.7     	048                	-113.985165	46.859573    	1347   	1347         	449.965   	238.517	10.2 	22.5          	1.1  	75.3     	221     	66     	1.061215
57                      	895.5	21.0                    	50                     	0.7     	047                	-113.985180	46.859566    	1348   	1348         	450.063   	238.443	10.3 	22.5          	1.1  	74.5     	222     	68     	1.060876
58                      	895.4	21.0                    	50                     	0.7     	045                	-113.985194	46.859560    	1349   	1349         	450.162   	238.369	10.3 	22.6          	1.1  	73.7     	223     	69     	1.060538
59                      	895.3	21.1                    	51                     	0.8     	044                	-113.985209	46.859553    	1350   	1350         	450.278   	238.297	10.4 	22.6          	1.1  	73.0     	224     	71     	1.060205
60                      	895.1	21.1                    	50                     	0.8     	043                	-113.985223	46.859546    	1351   	1351         	450.386   	238.232	10.4 	22.7          	1.1  	72.2     	225     	72     	1.059943
61                      	894.6	21.1                    	50                     	0.8     	043                	-113.985238	46.859540    	1355   	1355         	450.832   	238.050	10.4 	22.7          	4.0  	72.2     	225     	76     	1.059177
