Flight Information:
Launch Date:            	     	                        	Wednesday, 01 July 2020	     	                        	           	Launch Time: 	     	            	17:32:33	       	     	End of Ascent:	     	         	01:40:59
Station name:           	     	                        	                       	     	                        	           	Serialnumber:	     	            	20026239
Ground values:
Pressure:               	     	                        	898.6 hPa              	     	                        	           	Temperature: 	     	            	14.5 °C 	       	     	Humidity:     	     	         	58 %
Wind Direction:         	     	                        	46 °                   	     	                        	           	Wind Speed:  	     	            	1 m/s   	       	     	Cloud group:  	     	         	9////
Position:
Longitude:              	     	                        	-113.985 °             	     	                        	           	Latitude:    	     	            	46.860 °	       	     	Altitude:     	     	         	978 m
Staff:
Company:                	     	                        	
Operator:               	     	                        	                       	     	                        	           	
Events:
Highest Point:          	     	                        	7.4 hPa                	     	                        	           	33786 m
Tropopauses:            	     	                        	1.: 304.6 hPa          	     	                        	           	2.: 158.2 hPa	     	            	
Max Winds:              	     	                        	                       	     	                        	           	             	     	            	
Remarks:

Profile Data:
Time                    	P    	T                       	Hu                     	Ws   	Wd                      	Long.      	Lat.         	Alt  	Geopot      	MRI     	RI     	Dewp.	Virt. Temp    	Rs   	Elevation	Azimuth 	Range	D
[sec]                   	[hPa]	[°C]                    	[%]                    	[m/s]	[°]                     	[°]        	[°]          	[m]  	[m]         	        	       	[°C] 	[°C]          	[m/s]	[°]      	[°]     	[m]  	[kg/m3]
0                       	898.6	14.5                    	58                     	0.9  	046                     	-113.985002	46.859668    	978  	978         	398.578 	245.032	6.4  	15.7          	0.0  	46.9     	360     	1    	1.088479
1                       	897.1	14.1                    	58                     	1.0  	039                     	-113.984963	46.859595    	992  	992         	400.775 	244.969	6.0  	15.2          	14.4 	60.9     	159     	17   	1.088133
2                       	895.5	13.7                    	58                     	1.1  	032                     	-113.984925	46.859522    	1007 	1007        	402.989 	244.906	5.7  	14.8          	14.4 	60.1     	160     	34   	1.087790
3                       	894.0	13.3                    	58                     	1.2  	025                     	-113.984887	46.859449    	1021 	1021        	405.188 	244.844	5.3  	14.4          	14.4 	59.8     	160     	51   	1.087449
4                       	892.5	12.9                    	59                     	1.2  	019                     	-113.984849	46.859377    	1036 	1036        	407.402 	244.782	5.0  	13.9          	14.4 	59.7     	160     	67   	1.087110
5                       	890.9	12.5                    	59                     	1.3  	014                     	-113.984810	46.859304    	1050 	1050        	409.602 	244.721	4.6  	13.5          	14.4 	59.6     	160     	84   	1.086773
6                       	889.4	12.1                    	59                     	1.4  	009                     	-113.984772	46.859231    	1065 	1065        	411.818 	244.660	4.3  	13.1          	14.4 	59.6     	160     	101  	1.086438
7                       	887.9	11.9                    	59                     	1.5  	005                     	-113.984734	46.859159    	1079 	1079        	413.815 	244.396	4.2  	12.9          	14.4 	59.5     	160     	118  	1.085209
8                       	886.3	11.9                    	59                     	1.6  	001                     	-113.984696	46.859086    	1094 	1094        	415.721 	244.041	4.2  	12.9          	14.4 	59.5     	160     	135  	1.083559
9                       	884.8	11.8                    	59                     	1.7  	358                     	-113.984658	46.859013    	1108 	1108        	417.644 	243.688	4.2  	12.8          	14.4 	59.4     	160     	151  	1.081913
10                      	883.3	11.7                    	60                     	1.8  	355                     	-113.984619	46.858941    	1122 	1122        	419.551 	243.335	4.2  	12.8          	14.4 	59.4     	160     	168  	1.080268
11                      	881.8	11.7                    	60                     	1.9  	352                     	-113.984581	46.858868    	1137 	1137        	421.476 	242.982	4.2  	12.7          	14.4 	59.4     	160     	185  	1.078626
12                      	880.3	11.6                    	60                     	1.9  	350                     	-113.984543	46.858795    	1151 	1151        	423.385 	242.631	4.2  	12.6          	14.4 	59.4     	160     	202  	1.076987
13                      	878.7	11.6                    	61                     	2.0  	348                     	-113.984505	46.858723    	1166 	1166        	425.309 	242.279	4.2  	12.6          	14.4 	59.4     	160     	219  	1.075348
14                      	877.2	11.5                    	61                     	2.1  	346                     	-113.984466	46.858650    	1180 	1180        	427.219 	241.927	4.2  	12.5          	14.4 	59.4     	160     	235  	1.073711
15                      	875.7	11.5                    	61                     	2.2  	344                     	-113.984428	46.858577    	1195 	1195        	429.129 	241.577	4.2  	12.5          	14.4 	59.4     	160     	252  	1.072076
16                      	874.2	11.4                    	61                     	2.3  	343                     	-113.984389	46.858520    	1209 	1209        	431.055 	241.227	4.3  	12.4          	14.4 	59.7     	160     	268  	1.070444
17                      	872.7	11.3                    	62                     	2.4  	341                     	-113.984348	46.858494    	1224 	1223        	432.967 	240.877	4.3  	12.4          	14.4 	60.5     	159     	283  	1.068815
18                      	871.2	11.3                    	62                     	2.5  	340                     	-113.984307	46.858468    	1238 	1238        	434.894 	240.528	4.3  	12.3          	14.4 	61.2     	158     	297  	1.067188
