Flight Information:
Launch Date:            	     	                        	Wednesday, 29 July 2020	     	                       	           	Launch Time: 	     	             	15:01:46  	          	        	End of Ascent:	     	         	02:09:18
Station name:           	     	                        	                       	     	                       	           	Serialnumber:	     	             	20027723
Ground values:
Pressure:               	     	                        	906.2 hPa              	     	                       	           	Temperature: 	     	             	16.4 °C   	          	        	Humidity:     	     	         	65 %
Wind Direction:         	     	                        	73 °                   	     	                       	           	Wind Speed:  	     	             	0 m/s     	          	        	Cloud group:  	     	         	9////
Position:
Longitude:              	     	                        	-113.985 °             	     	                       	           	Latitude:    	     	             	46.860 °  	          	        	Altitude:     	     	         	978 m
Staff:
Company:                	     	                        	
Operator:               	     	                        	                       	     	                       	           	
Events:
Highest Point:          	     	                        	8.2 hPa                	     	                       	           	33075 m
Tropopauses:            	     	                        	1.: 218.3 hPa          	     	                       	           	2.: 88.4 hPa 	     	             	
Max Winds:              	     	                        	                       	     	                       	           	             	     	             	
Remarks:

Profile Data:
Time                    	P    	T                       	Hu                     	Ws   	Wd                     	Long.      	Lat.         	Alt  	Geopot       	MRI       	RI        	Dewp.   	Virt. Temp    	Rs   	Elevation	Azimuth 	Range	D
[sec]                   	[hPa]	[°C]                    	[%]                    	[m/s]	[°]                    	[°]        	[°]          	[m]  	[m]          	          	          	[°C]    	[°C]          	[m/s]	[°]      	[°]     	[m]  	[kg/m3]
0                       	906.2	16.4                    	65                     	0.4  	073                    	-113.984990	46.859630    	978  	978          	399.301   	245.755   	9.8     	17.9          	0.0  	46.9     	000     	1    	1.090482
1                       	904.8	16.7                    	64                     	0.4  	067                    	-113.985022	46.859618    	991  	991          	400.647   	245.060   	9.8     	18.2          	13.0 	78.8     	248     	14   	1.087638
2                       	903.4	17.0                    	62                     	0.5  	062                    	-113.985054	46.859605    	1004 	1004         	402.010   	244.366   	9.8     	18.5          	13.0 	78.4     	244     	27   	1.084803
3                       	902.1	17.3                    	61                     	0.5  	058                    	-113.985086	46.859593    	1017 	1017         	403.360   	243.675   	9.8     	18.8          	13.0 	78.2     	243     	40   	1.081977
4                       	900.7	17.7                    	60                     	0.6  	055                    	-113.985118	46.859580    	1030 	1030         	404.712   	242.986   	9.8     	19.1          	13.0 	78.1     	242     	54   	1.079159
5                       	899.3	18.0                    	59                     	0.6  	052                    	-113.985150	46.859568    	1043 	1043         	406.066   	242.299   	9.8     	19.5          	13.0 	78.1     	242     	67   	1.076350
6                       	898.0	18.3                    	57                     	0.7  	049                    	-113.985182	46.859556    	1056 	1056         	407.438   	241.615   	9.8     	19.8          	13.0 	78.0     	242     	80   	1.073549
7                       	896.6	18.5                    	56                     	0.7  	047                    	-113.985214	46.859543    	1069 	1069         	408.886   	241.022   	9.6     	20.0          	13.0 	78.0     	242     	94   	1.071152
8                       	895.2	18.5                    	56                     	0.8  	045                    	-113.985246	46.859531    	1082 	1082         	410.572   	240.667   	9.4     	19.9          	13.0 	78.0     	241     	107  	1.069670
9                       	893.9	18.4                    	55                     	0.8  	043                    	-113.985278	46.859518    	1095 	1095         	412.277   	240.331   	9.3     	19.9          	13.0 	78.0     	241     	120  	1.068191
10                      	892.5	18.4                    	55                     	0.9  	042                    	-113.985310	46.859506    	1108 	1108         	413.998   	239.995   	9.3     	19.8          	13.0 	78.0     	241     	134  	1.066714
11                      	891.2	18.3                    	55                     	0.9  	040                    	-113.985342	46.859493    	1121 	1121         	415.704   	239.660   	9.2     	19.8          	13.0 	77.9     	241     	147  	1.065238
12                      	889.8	18.3                    	55                     	1.0  	039                    	-113.985374	46.859481    	1134 	1134         	417.410   	239.325   	9.1     	19.7          	13.0 	77.9     	241     	160  	1.063765
