Flight Information:
Launch Date:            	     	                       	Wednesday, 01 July 2020	     	                       	           	Launch Time: 	     	             	17:30:44	       	     	End of Ascent:	     	         	01:38:24
Station name:           	     	                       	                       	     	                       	           	Serialnumber:	     	             	20026279
Ground values:
Pressure:               	     	                       	883.0 hPa              	     	                       	           	Temperature: 	     	             	16.8 °C 	       	     	Humidity:     	     	         	48 %
Wind Direction:         	     	                       	190 °                  	     	                       	           	Wind Speed:  	     	             	3 m/s   	       	     	Cloud group:  	     	         	9////
Position:
Longitude:              	     	                       	-114.035 °             	     	                       	           	Latitude:    	     	             	46.520 °	       	     	Altitude:     	     	         	978 m
Staff:
Company:                	     	                       	
Operator:               	     	                       	                       	     	                       	           	
Events:
Highest Point:          	     	                       	7.0 hPa                	     	                       	           	34009 m
Tropopauses:            	     	                       	1.: 289.0 hPa          	     	                       	           	2.: 95.7 hPa 	     	             	
Max Winds:              	     	                       	                       	     	                       	           	             	     	             	
Remarks:

Profile Data:
Time                    	P    	T                      	Hu                     	Ws   	Wd                     	Long.      	Lat.         	Alt  	Geopot       	MRI     	RI     	Dewp.	Virt. Temp    	Rs   	Elevation	Azimuth 	Range	D
[sec]                   	[hPa]	[°C]                   	[%]                    	[m/s]	[°]                    	[°]        	[°]          	[m]  	[m]          	        	       	[°C] 	[°C]          	[m/s]	[°]      	[°]     	[m]  	[kg/m3]
0                       	883.0	16.8                   	48                     	3.1  	190                    	-114.034928	46.519611    	978  	978          	391.995 	238.449	5.8  	17.9          	0.0  	46.5     	360     	1    	1.061098
1                       	881.8	16.4                   	48                     	3.1  	191                    	-114.034906	46.519647    	990  	990          	393.845 	238.415	5.3  	17.5          	12.0 	69.2     	021     	13   	1.061000
2                       	880.5	16.0                   	47                     	3.2  	192                    	-114.034884	46.519683    	1002 	1002         	395.679 	238.381	4.8  	17.1          	12.0 	69.5     	022     	26   	1.060904
3                       	879.3	15.7                   	47                     	3.2  	193                    	-114.034862	46.519719    	1014 	1014         	397.530 	238.347	4.3  	16.7          	12.0 	69.7     	022     	39   	1.060810
4                       	878.0	15.3                   	46                     	3.2  	193                    	-114.034840	46.519755    	1026 	1026         	399.381 	238.314	3.9  	16.3          	12.0 	69.8     	022     	51   	1.060717
5                       	876.8	14.9                   	46                     	3.3  	194                    	-114.034818	46.519792    	1038 	1038         	401.232 	238.281	3.4  	15.9          	12.0 	69.8     	023     	64   	1.060626
6                       	875.6	14.5                   	46                     	3.3  	195                    	-114.034796	46.519828    	1050 	1050         	403.068 	238.249	2.9  	15.4          	12.0 	69.8     	023     	77   	1.060538
7                       	874.3	14.3                   	45                     	3.4  	196                    	-114.034773	46.519864    	1062 	1062         	404.797 	238.094	2.6  	15.2          	12.0 	69.9     	023     	90   	1.059909
8                       	873.1	14.2                   	45                     	3.4  	197                    	-114.034751	46.519900    	1074 	1074         	406.411 	237.824	2.6  	15.1          	12.0 	69.9     	023     	102  	1.058662
9                       	871.8	14.1                   	46                     	3.5  	197                    	-114.034729	46.519936    	1086 	1086         	408.030 	237.560	2.6  	15.1          	12.0 	69.9     	023     	115  	1.057415
10                      	870.6	14.1                   	46                     	3.5  	198                    	-114.034707	46.519972    	1098 	1098         	409.635 	237.296	2.6  	15.0          	12.0 	69.9     	023     	128  	1.056171
11                      	869.4	14.0                   	46                     	3.6  	199                    	-114.034685	46.520008    	1110 	1110         	411.256 	237.033	2.6  	14.9          	12.0 	69.9     	023     	141  	1.054927
12                      	868.1	13.9                   	46                     	3.6  	199                    	-114.034663	46.520044    	1122 	1122         	412.877 	236.770	2.7  	14.9          	12.0 	69.9     	023     	153  	1.053686
13                      	866.9	13.9                   	47                     	3.6  	200                    	-114.034641	46.520080    	1134 	1134         	414.497 	236.506	2.7  	14.8          	12.0 	69.9     	023     	166  	1.052443
14                      	865.7	13.8                   	47                     	3.7  	201                    	-114.034619	46.520117    	1146 	1146         	416.102 	236.243	2.7  	14.7          	12.0 	69.9     	023     	179  	1.051201
15                      	864.5	13.7                   	47                     	3.7  	201                    	-114.034596	46.520153    	1158 	1158         	417.724 	235.981	2.7  	14.7          	12.0 	69.9     	023     	192  	1.049961
16                      	863.2	13.7                   	48                     	3.8  	202                    	-114.034564	46.520197    	1170 	1170         	419.346 	235.718	2.7  	14.6          	12.0 	69.6     	023     	205  	1.048722
17                      	862.0	13.6                   	48                     	3.8  	203                    	-114.034524	46.520247    	1182 	1182         	420.968 	235.456	2.8  	14.5          	12.0 	69.2     	024     	218  	1.047485
18                      	860.8	13.5                   	48                     	3.8  	203                    	-114.034484	46.520297    	1194 	1193         	422.574 	235.195	2.8  	14.5          	12.0 	68.8     	024     	232  	1.046250
19                      	859.6	13.4                   	48                     	3.9  	204                    	-114.034444	46.520346    	1206 	1205         	424.216 	234.953	2.8  	14.4          	12.0 	68.4     	024     	245  	1.045101
20                      	858.5	13.4                   	49                     	3.9  	204                    	-114.034405	46.520396    	1218 	1217         	425.857 	234.710	2.8  	14.3          	12.0 	68.1     	025     	259  	1.043953
21                      	857.3	13.3                   	49                     	4.0  	205                    	-114.034365	46.520446    	1229 	1229         	427.475 	234.459	2.8  	14.3          	12.0 	67.8     	025     	272  	1.042769
22                      	856.2	13.3                   	49                     	4.0  	206                    	-114.034325	46.520496    	1241 	1241         	429.109 	234.209	2.8  	14.2          	12.0 	67.5     	025     	285  	1.041586
23                      	855.0	13.2                   	49                     	4.0  	206                    	-114.034285	46.520546    	1253 	1253         	430.742 	233.959	2.9  	14.2          	12.0 	67.3     	025     	299  	1.040405
24                      	853.9	13.1                   	50                     	4.1  	207                    	-114.034246	46.520595    	1261 	1261         	431.701 	233.709	2.9  	14.1          	7.7  	66.8     	026     	309  	1.039225
25                      	853.3	13.1                   	50                     	4.1  	207                    	-114.034206	46.520645    	1267 	1267         	432.525 	233.606	2.9  	14.0          	5.9  	66.1     	026     	316  	1.038706
26                      	852.7	13.0                   	50                     	4.2  	208                    	-114.034166	46.520695    	1273 	1273         	433.349 	233.504	2.9  	14.0          	5.9  	65.5     	026     	324  	1.038188
27                      	852.1	13.0                   	50                     	4.2  	208                    	-114.034126	46.520745    	1279 	1279         	434.189 	233.401	3.0  	13.9          	5.9  	65.0     	026     	332  	1.037669
28                      	851.5	12.9                   	51                     	4.2  	209                    	-114.034086	46.520794    	1285 	1285         	435.012 	233.299	3.0  	13.9          	5.9  	64.4     	026     	341  	1.037151
29                      	850.9	12.9                   	51                     	4.3  	209                    	-114.034047	46.520844    	1291 	1291         	435.837 	233.197	3.0  	13.8          	5.9  	63.9     	026     	349  	1.036634
30                      	850.3	12.8                   	51                     	4.3  	210                    	-114.034007	46.520894    	1297 	1296         	436.661 	233.094	3.0  	13.8          	5.9  	63.4     	026     	357  	1.036117
31                      	849.7	12.7                   	52                     	4.5  	209                    	-114.033967	46.520944    	1303 	1302         	437.485 	232.992	3.0  	13.7          	5.9  	63.0     	026     	365  	1.035599
32                      	849.1	12.7                   	52                     	4.6  	209                    	-114.033927	46.520994    	1308 	1308         	438.309 	232.890	3.1  	13.6          	5.9  	62.5     	027     	373  	1.035081
33                      	848.5	12.6                   	52                     	4.7  	209                    	-114.033887	46.521043    	1314 	1314         	439.131 	232.786	3.1  	13.6          	5.9  	62.1     	027     	381  	1.034564
34                      	847.9	12.6                   	52                     	4.8  	209                    	-114.033848	46.521093    	1320 	1320         	439.952 	232.681	3.0  	13.5          	5.9  	61.7     	027     	389  	1.034058
35                      	847.3	12.5                   	52                     	4.9  	209                    	-114.033808	46.521143    	1326 	1326         	440.774 	232.577	3.0  	13.5          	5.9  	61.3     	027     	397  	1.033560
36                      	846.7	12.4                   	52                     	5.0  	208                    	-114.033768	46.521193    	1332 	1332         	441.597 	232.473	3.0  	13.4          	5.9  	60.9     	027     	406  	1.033062
37                      	846.1	12.4                   	53                     	5.2  	208                    	-114.033728	46.521243    	1338 	1338         	442.420 	232.369	3.0  	13.3          	5.9  	60.5     	027     	414  	1.032563
38                      	845.5	12.3                   	53                     	5.3  	208                    	-114.033688	46.521292    	1344 	1344         	443.258 	232.265	2.9  	13.3          	5.9  	60.2     	027     	422  	1.032065
39                      	844.9	12.2                   	53                     	5.4  	208                    	-114.033649	46.521342    	1350 	1350         	444.080 	232.162	2.9  	13.2          	5.9  	59.8     	027     	431  	1.031567
40                      	844.3	12.2                   	53                     	5.5  	208                    	-114.033609	46.521392    	1356 	1356         	444.903 	232.058	2.9  	13.1          	5.9  	59.5     	027     	439  	1.031069
41                      	843.7	12.1                   	53                     	5.6  	208                    	-114.033569	46.521442    	1362 	1361         	445.726 	231.955	2.9  	13.1          	5.9  	59.2     	027     	447  	1.030572
42                      	843.2	12.1                   	53                     	5.7  	208                    	-114.033529	46.521492    	1368 	1367         	446.549 	231.851	2.9  	13.0          	5.9  	58.9     	027     	455  	1.030075
43                      	842.6	12.0                   	53                     	5.9  	207                    	-114.033490	46.521541    	1373 	1373         	447.371 	231.748	2.8  	12.9          	5.9  	58.6     	027     	464  	1.029578
44                      	842.0	11.9                   	54                     	6.0  	207                    	-114.033450	46.521591    	1379 	1379         	448.194 	231.644	2.8  	12.9          	5.9  	58.3     	027     	472  	1.029081
45                      	841.4	11.9                   	54                     	6.1  	207                    	-114.033410	46.521641    	1385 	1385         	449.017 	231.541	2.8  	12.8          	5.9  	58.0     	027     	480  	1.028585
46                      	840.8	11.8                   	54                     	6.2  	207                    	-114.033370	46.521691    	1391 	1391         	449.840 	231.438	2.8  	12.8          	5.9  	57.8     	027     	489  	1.028088
47                      	840.2	11.7                   	54                     	6.3  	207                    	-114.033326	46.521751    	1397 	1397         	450.664 	231.335	2.7  	12.7          	5.9  	57.4     	027     	498  	1.027594
48                      	839.6	11.7                   	54                     	6.5  	207                    	-114.033281	46.521812    	1403 	1403         	451.489 	231.233	2.7  	12.6          	5.9  	57.0     	027     	507  	1.027105
49                      	839.0	11.6                   	54                     	6.6  	207                    	-114.033237	46.521873    	1409 	1409         	452.314 	231.132	2.7  	12.6          	5.9  	56.7     	027     	516  	1.026618
50                      	838.4	11.5                   	54                     	6.7  	207                    	-114.033192	46.521933    	1415 	1415         	453.139 	231.031	2.7  	12.5          	5.9  	56.4     	027     	525  	1.026131
