Flight Information:
Launch Date:            	     	                       	Wednesday, 22 July 2020	     	                   	           	Launch Time: 	     	             	17:01:35	       	     	End of Ascent:	     	         	01:40:48
Station name:           	     	                       	                       	     	                   	           	Serialnumber:	     	             	20028104
Ground values:
Pressure:               	     	                       	900.2 hPa              	     	                   	           	Temperature: 	     	             	22.0 °C 	       	     	Humidity:     	     	         	49 %
Wind Direction:         	     	                       	0 °                    	     	                   	           	Wind Speed:  	     	             	0 m/s   	       	     	Cloud group:  	     	         	9////
Position:
Longitude:              	     	                       	-113.985 °             	     	                   	           	Latitude:    	     	             	46.860 °	       	     	Altitude:     	     	         	978 m
Staff:
Company:                	     	                       	
Operator:               	     	                       	                       	     	                   	           	
Events:
Highest Point:          	     	                       	8.6 hPa                	     	                   	           	32738 m
Tropopauses:            	     	                       	1.: 174.0 hPa          	     	                   	           	             	     	             	
Max Winds:              	     	                       	                       	     	                   	           	             	     	             	
Remarks:

Profile Data:
Time                    	P    	T                      	Hu                     	Ws   	Wd                 	Long.      	Lat.         	Alt  	Geopot       	MRI     	RI     	Dewp.	Virt. Temp    	Rs   	Elevation	Azimuth 	Range	D
[sec]                   	[hPa]	[°C]                   	[%]                    	[m/s]	[°]                	[°]        	[°]          	[m]  	[m]          	        	       	[°C] 	[°C]          	[m/s]	[°]      	[°]     	[m]  	[kg/m3]
0                       	900.2	22.0                   	49                     	0.0  	000                	-113.984930	46.859680    	978  	978          	392.322 	238.776	10.8 	23.6          	0.0  	46.9     	360     	1    	1.062709
1                       	899.1	21.8                   	49                     	0.0  	342                	-113.984883	46.859660    	989  	989          	393.880 	238.607	10.6 	23.4          	11.0 	70.4     	117     	12   	1.061993
2                       	897.9	21.7                   	48                     	0.1  	342                	-113.984835	46.859640    	1000 	1000         	395.423 	238.439	10.3 	23.2          	11.0 	69.6     	120     	24   	1.061279
3                       	896.8	21.5                   	48                     	0.1  	342                	-113.984788	46.859619    	1011 	1011         	396.982 	238.270	10.1 	23.0          	11.0 	69.3     	120     	36   	1.060565
4                       	895.7	21.3                   	48                     	0.1  	342                	-113.984741	46.859599    	1022 	1022         	398.525 	238.102	9.8  	22.8          	11.0 	69.2     	121     	47   	1.059852
5                       	894.5	21.1                   	48                     	0.2  	342                	-113.984693	46.859579    	1033 	1033         	400.084 	237.934	9.6  	22.6          	11.0 	69.1     	121     	59   	1.059140
6                       	893.4	21.0                   	47                     	0.2  	342                	-113.984646	46.859559    	1044 	1044         	401.627 	237.766	9.3  	22.4          	11.0 	69.1     	121     	71   	1.058429
7                       	892.3	20.8                   	47                     	0.3  	342                	-113.984599	46.859539    	1055 	1055         	403.148 	237.560	9.1  	22.3          	11.0 	69.0     	121     	83   	1.057551
8                       	891.1	20.8                   	47                     	0.3  	342                	-113.984552	46.859518    	1066 	1066         	404.593 	237.294	9.1  	22.2          	11.0 	69.0     	121     	94   	1.056345
