Flight Information:
Launch Date:            	     	                       	Friday, 19 June 2020	     	                   	           	Launch Time: 	     	            	17:14:31	       	     	End of Ascent:	     	         	01:55:36
Station name:           	     	                       	                    	     	                   	           	Serialnumber:	     	            	20028083
Ground values:
Pressure:               	     	                       	907.0 hPa           	     	                   	           	Temperature: 	     	            	15.2 °C 	       	     	Humidity:     	     	         	62 %
Wind Direction:         	     	                       	343 °               	     	                   	           	Wind Speed:  	     	            	1 m/s   	       	     	Cloud group:  	     	         	9////
Position:
Longitude:              	     	                       	-113.985 °          	     	                   	           	Latitude:    	     	            	46.860 °	       	     	Altitude:     	     	         	978 m
Staff:
Company:                	     	                       	
Operator:               	     	                       	                    	     	                   	           	
Events:
Highest Point:          	     	                       	6.7 hPa             	     	                   	           	34323 m
Tropopauses:            	     	                       	1.: 213.9 hPa       	     	                   	           	             	     	            	
Max Winds:              	     	                       	                    	     	                   	           	             	     	            	
Remarks:

Profile Data:
Time                    	P    	T                      	Hu                  	Ws   	Wd                 	Long.      	Lat.         	Alt  	Geopot      	MRI     	RI     	Dewp.	Virt. Temp    	Rs   	Elevation	Azimuth 	Range	D
[sec]                   	[hPa]	[°C]                   	[%]                 	[m/s]	[°]                	[°]        	[°]          	[m]  	[m]         	        	       	[°C] 	[°C]          	[m/s]	[°]      	[°]     	[m]  	[kg/m3]
0                       	907.0	15.2                   	62                  	1.2  	343                	-113.995400	46.846000    	978  	978         	400.417 	246.871	8.0  	16.5          	0.0  	0.0      	207     	1724 	1.095987
1                       	906.4	15.0                   	62                  	1.2  	345                	-113.994715	46.846871    	984  	984         	401.377 	246.905	7.8  	16.2          	5.9  	0.2      	207     	1614 	1.096094
2                       	905.7	14.7                   	62                  	1.3  	347                	-113.994030	46.847742    	990  	990         	402.337 	246.938	7.6  	16.0          	5.9  	0.5      	207     	1504 	1.096201
3                       	905.1	14.5                   	62                  	1.3  	349                	-113.993345	46.848613    	996  	996         	403.313 	246.973	7.4  	15.8          	5.9  	0.7      	207     	1394 	1.096309
4                       	904.5	14.3                   	62                  	1.3  	351                	-113.992660	46.849483    	1002 	1002        	404.274 	247.007	7.2  	15.5          	5.9  	1.1      	207     	1284 	1.096418
5                       	903.8	14.1                   	63                  	1.3  	353                	-113.991975	46.850354    	1008 	1008        	405.234 	247.041	7.0  	15.3          	5.9  	1.5      	207     	1174 	1.096528
6                       	903.2	13.8                   	63                  	1.4  	354                	-113.991290	46.851225    	1014 	1014        	406.195 	247.076	6.9  	15.0          	5.9  	1.9      	207     	1064 	1.096638
7                       	902.6	13.6                   	63                  	1.4  	356                	-113.990605	46.852096    	1020 	1019        	407.131 	247.069	6.7  	14.8          	5.9  	2.5      	207     	955  	1.096567
8                       	901.9	13.6                   	63                  	1.4  	358                	-113.989920	46.852967    	1025 	1025        	407.952 	246.964	6.7  	14.8          	5.9  	3.2      	206     	845  	1.096030
9                       	901.3	13.5                   	63                  	1.5  	359                	-113.989235	46.853838    	1031 	1031        	408.774 	246.860	6.7  	14.7          	5.9  	4.2      	206     	736  	1.095493
10                      	900.7	13.5                   	64                  	1.5  	001                	-113.988550	46.854709    	1037 	1037        	409.596 	246.755	6.7  	14.6          	5.9  	5.5      	206     	627  	1.094957
11                      	900.0	13.4                   	64                  	1.5  	002                	-113.987865	46.855580    	1043 	1043        	410.417 	246.651	6.8  	14.6          	5.9  	7.3      	205     	518  	1.094420
12                      	899.4	13.3                   	64                  	1.5  	004                	-113.987179	46.856450    	1049 	1049        	411.255 	246.546	6.8  	14.5          	5.9  	10.0     	204     	410  	1.093884
13                      	898.8	13.3                   	65                  	1.6  	005                	-113.986494	46.857321    	1055 	1055        	412.077 	246.442	6.8  	14.5          	5.9  	14.7     	203     	305  	1.093348
14                      	898.1	13.2                   	65                  	1.6  	006                	-113.985809	46.858192    	1061 	1061        	412.899 	246.337	6.8  	14.4          	5.9  	24.2     	199     	203  	1.092811
15                      	897.5	13.2                   	65                  	1.6  	008                	-113.985124	46.859063    	1067 	1067        	413.721 	246.233	6.8  	14.3          	5.9  	48.6     	186     	119  	1.092275
16                      	896.9	13.1                   	66                  	1.6  	009                	-113.984805	46.859476    	1073 	1073        	414.558 	246.129	6.8  	14.3          	5.9  	69.3     	154     	102  	1.091740
17                      	896.2	13.0                   	66                  	1.7  	010                	-113.984836	46.859450    	1079 	1079        	415.380 	246.025	6.8  	14.2          	5.9  	69.6     	159     	108  	1.091204
18                      	895.6	13.0                   	66                  	1.7  	011                	-113.984866	46.859425    	1085 	1085        	416.203 	245.920	6.8  	14.2          	5.9  	69.7     	164     	114  	1.090669
19                      	895.1	12.9                   	66                  	1.7  	012                	-113.984897	46.859399    	1091 	1091        	417.048 	245.839	6.8  	14.1          	5.9  	69.7     	168     	120  	1.090236
