Flight Information:
Launch Date:            	     	                       	Friday, 19 June 2020	     	                   	           	Launch Time: 	     	            	17:45:15  	          	        	End of Ascent:	     	         	01:39:09
Station name:           	     	                       	                    	     	                   	           	Serialnumber:	     	            	20028122
Ground values:
Pressure:               	     	                       	907.0 hPa           	     	                   	           	Temperature: 	     	            	14.9 °C   	          	        	Humidity:     	     	         	62 %
Wind Direction:         	     	                       	295 °               	     	                   	           	Wind Speed:  	     	            	1 m/s     	          	        	Cloud group:  	     	         	9////
Position:
Longitude:              	     	                       	-113.985 °          	     	                   	           	Latitude:    	     	            	46.860 °  	          	        	Altitude:     	     	         	978 m
Staff:
Company:                	     	                       	
Operator:               	     	                       	                    	     	                   	           	
Events:
Highest Point:          	     	                       	12.6 hPa            	     	                   	           	29971 m
Tropopauses:            	     	                       	1.: 205.0 hPa       	     	                   	           	             	     	            	
Max Winds:              	     	                       	                    	     	                   	           	             	     	            	
Remarks:

Profile Data:
Time                    	P    	T                      	Hu                  	Ws   	Wd                 	Long.      	Lat.         	Alt  	Geopot      	MRI       	RI        	Dewp.   	Virt. Temp    	Rs   	Elevation	Azimuth 	Range	D
[sec]                   	[hPa]	[°C]                   	[%]                 	[m/s]	[°]                	[°]        	[°]          	[m]  	[m]         	          	          	[°C]    	[°C]          	[m/s]	[°]      	[°]     	[m]  	[kg/m3]
0                       	907.0	14.9                   	62                  	0.7  	295                	-113.984930	46.859750    	978  	978         	400.677   	247.131   	7.7     	16.2          	0.0  	46.9     	360     	1    	1.097129
1                       	906.4	15.1                   	62                  	0.7  	297                	-113.984931	46.859750    	984  	984         	401.245   	246.789   	7.8     	16.3          	5.8  	86.0     	345     	6    	1.095705
2                       	905.8	15.3                   	61                  	0.7  	299                	-113.984933	46.859751    	990  	990         	401.798   	246.447   	7.8     	16.5          	5.8  	87.6     	334     	12   	1.094285
3                       	905.2	15.4                   	61                  	0.7  	301                	-113.984934	46.859751    	995  	995         	402.368   	246.106   	7.9     	16.7          	5.8  	88.1     	327     	18   	1.092866
4                       	904.5	15.6                   	60                  	0.7  	303                	-113.984936	46.859751    	1001 	1001        	402.938   	245.765   	7.9     	16.9          	5.8  	88.3     	321     	24   	1.091450
5                       	903.9	15.8                   	60                  	0.7  	306                	-113.984937	46.859752    	1007 	1007        	403.493   	245.425   	8.0     	17.1          	5.8  	88.4     	317     	29   	1.090036
6                       	903.3	16.0                   	59                  	0.7  	309                	-113.984939	46.859752    	1013 	1013        	404.064   	245.086   	8.0     	17.3          	5.8  	88.5     	313     	35   	1.088624
7                       	902.7	16.1                   	59                  	0.7  	312                	-113.984940	46.859753    	1018 	1018        	404.683   	244.809   	8.0     	17.4          	5.8  	88.6     	311     	41   	1.087489
8                       	902.1	16.0                   	58                  	0.7  	316                	-113.984942	46.859753    	1024 	1024        	405.515   	244.731   	7.8     	17.3          	5.8  	88.6     	309     	47   	1.087168
9                       	901.5	15.9                   	58                  	0.7  	320                	-113.984943	46.859753    	1030 	1030        	406.355   	244.661   	7.7     	17.1          	5.8  	88.6     	307     	52   	1.086847
10                      	900.9	15.7                   	58                  	0.7  	326                	-113.984944	46.859754    	1036 	1036        	407.180   	244.591   	7.6     	17.0          	5.8  	88.7     	306     	58   	1.086527
11                      	900.3	15.6                   	58                  	0.7  	331                	-113.984946	46.859754    	1041 	1041        	408.021   	244.521   	7.5     	16.9          	5.8  	88.7     	304     	64   	1.086207
12                      	899.6	15.5                   	58                  	0.7  	338                	-113.984947	46.859754    	1047 	1047        	408.861   	244.451   	7.4     	16.8          	5.8  	88.7     	303     	70   	1.085887
13                      	899.0	15.4                   	58                  	0.7  	345                	-113.984949	46.859755    	1053 	1053        	409.696   	244.375   	7.3     	16.7          	5.8  	88.7     	303     	75   	1.085542
14                      	898.4	15.3                   	58                  	0.7  	352                	-113.984950	46.859755    	1059 	1059        	410.563   	244.300   	7.2     	16.5          	6.0  	88.7     	302     	81   	1.085198
